order_id,order_item_id,order_date,shipping_date,shipping_mode,order_status,delivery_status,late_delivery_risk,days_for_shipping_real,days_for_shipment_scheduled,order_item_quantity,order_item_discount_rate,order_item_product_price,order_item_profit_ratio,sales,benefit_per_order,sales_per_customer,order_region,order_country,market,payment_type,customer_segment,customer_country,latitude,longitude,category_name,department_name,product_price,shipping_delay_days,order_hour,order_day_of_week,order_month,order_year,is_weekend_order,revenue_per_unit,has_discount,is_profitable,scheduled_days_bin,market_risk_score,region_risk_score,mode_risk_score
70087,11,2021-06-18 21:46:00,2021-06-21 21:46:00,First Class,PENDING,Shipping on time,0,3,3,4,0.083,90348.94,0.4007,331399.91,132791.94,511127.04,Rural Sindh,Karachi,Sindh,DEBIT,Corporate,Karachi,7.6402,44.2072,Furniture,Home & Garden,90348.94,0,21,4,6,2021,0,82849.98,1,1,1-3_days,0.5224103055466837,0.5220072294280247,0.5351926799225761
48072,12,2022-10-28 08:23:00,2022-11-01 08:23:00,Same Day,CLOSED,Shipping on time,0,4,1,4,0.15,212438.48,0.1879,722290.83,135718.45,1511416.67,Northern Areas,Muzaffarabad,Federal,CASH,Corporate,Muzaffarabad,-3.3877,-74.0795,Garden Tools,Home & Garden,212438.48,3,8,4,10,2022,0,180572.71,1,1,same_day,0.7340503544365681,0.7303862035462716,0.4316920322291853
64822,13,2022-04-24 20:04:00,2022-05-01 20:04:00,Standard Class,COMPLETE,Late delivery,1,7,6,5,0.176,80600.94,0.1586,332075.87,52667.23,382653.63,Rural Sindh,Sukkur,Sindh,PAYMENT,Consumer,Sukkur,-0.1686,41.106,Tools & Equipment,Automotive,80600.94,1,20,6,4,2022,1,66415.17,1,1,5-10_days,0.5224103055466837,0.5220072294280247,0.7366829702089818
13120,14,2024-03-26 18:53:00,2024-04-01 18:53:00,Standard Class,CLOSED,Late delivery,1,6,5,2,0.043,188552.15,0.2098,360888.82,75714.47,297483.35,North KPK,Mardan,KPK,DEBIT,Consumer,Mardan,40.0952,-61.6264,Books,Books & Media,188552.15,1,18,1,3,2024,0,180444.41,1,1,3-5_days,0.5953805774278215,0.5940386230058774,0.7366829702089818
99865,16,2023-05-06 17:37:00,2023-05-08 17:37:00,Same Day,CLOSED,Late delivery,1,2,1,5,0.03,114265.28,-0.0457,554186.61,-25326.33,1214748.02,North KPK,Swat,KPK,PAYMENT,Consumer,Swat,64.3205,58.8823,Car Accessories,Automotive,114265.28,1,17,5,5,2023,1,110837.32,1,0,same_day,0.5953805774278215,0.5940386230058774,0.4316920322291853
60445,17,2024-09-28 14:48:00,2024-09-30 14:48:00,Same Day,CLOSED,Shipping on time,0,2,1,3,0.286,238895.62,0.2958,511714.42,151365.13,758094.78,Rural Sindh,Karachi,Sindh,PAYMENT,Consumer,Karachi,41.3302,14.4275,Medical Supplies,Health,238895.62,1,14,5,9,2024,1,170571.47,1,1,same_day,0.5224103055466837,0.5220072294280247,0.4316920322291853
71344,19,2023-11-30 15:33:00,2023-12-02 15:33:00,First Class,COMPLETE,Shipping on time,0,2,2,5,0.175,258955.35,0.4478,1068190.82,395862.237500001,1509361.96,Rural Sindh,Sukkur,Sindh,PAYMENT,Corporate,Sukkur,-57.4156,-91.7459,Team Sports,Sports,258955.35,0,15,3,11,2023,0,213638.16,1,1,1-3_days,0.5224103055466837,0.5220072294280247,0.5351926799225761
71264,20,2024-02-09 11:44:00,2024-02-13 11:44:00,Second Class,COMPLETE,Shipping on time,0,4,3,5,0.06,174788.06,0.3548,821503.88,291469.58,1751595.6,Central Punjab,Sialkot,Punjab,TRANSFER,Home Office,Sialkot,11.5208,-153.7629,Men's Fashion,Clothing,174788.06,1,11,4,2,2024,0,164300.78,1,1,1-3_days,0.4820809248554913,0.479179810725552,0.6605610122997965
31263,21,2023-09-08 04:19:00,2023-09-08 04:19:00,Same Day,COMPLETE,Advance shipping,0,0,1,4,0.071,241632.0,-0.0794,897904.51,-71293.62,1939627.0,North Punjab,Sialkot,Punjab,DEBIT,Consumer,Sialkot,15.4159,75.3499,Kitchen,Home & Garden,241632.0,-1,4,4,9,2023,0,224476.13,1,0,same_day,0.4820809248554913,0.4793103448275862,0.4316920322291853
84647,23,2022-12-04 16:31:00,2022-12-05 16:31:00,Same Day,COMPLETE,Shipping on time,0,1,1,2,0.244,141417.31,0.0955,213822.97,20420.09,313802.77,North KPK,Kohat,KPK,PAYMENT,Consumer,Kohat,-5.8118,-176.927,Garden Tools,Home & Garden,141417.31,0,16,6,12,2022,1,106911.48,1,1,same_day,0.5953805774278215,0.5940386230058774,0.4316920322291853
69384,24,2022-06-03 11:29:00,2022-06-06 11:29:00,First Class,CLOSED,Shipping on time,0,3,2,5,0.074,273866.01,-0.0599,1230612.4494,-75953.18,2400276.426300008,Central Punjab,Gujranwala,Punjab,TRANSFER,Consumer,Gujranwala,-7.9599,128.6975,Movies & TV,Books & Media,273866.01,1,11,4,6,2022,0,246122.49,1,0,1-3_days,0.4820809248554913,0.479179810725552,0.5351926799225761
81120,25,2023-03-25 13:58:00,2023-03-27 13:58:00,Same Day,PENDING,Late delivery,1,2,0,2,0.23,77053.93,0.0118,118663.05,1400.22,238569.92,North Punjab,Gujranwala,Punjab,PAYMENT,Home Office,Gujranwala,68.2164,-173.1252,Accessories,Clothing,77053.93,2,13,5,3,2023,1,59331.52,1,1,same_day,0.4820809248554913,0.4793103448275862,0.4316920322291853
86435,26,2021-10-16 10:43:00,2021-10-19 10:43:00,First Class,COMPLETE,Shipping on time,0,3,2,1,0.242,132947.52,0.23,100774.22,23178.07,250768.2,Rural Sindh,Karachi,Sindh,CASH,Corporate,Karachi,34.7497,-79.1853,Garden Tools,Home & Garden,132947.52,1,10,5,10,2021,1,100774.22,1,1,1-3_days,0.5224103055466837,0.5220072294280247,0.5351926799225761
16371,28,2024-04-23 14:12:00,2024-04-27 14:12:00,Same Day,COMPLETE,Late delivery,1,4,1,5,0.254,84983.24,0.2334,316987.49,73984.88,302334.73,Capital Territory,Rawalpindi,Federal,DEBIT,Home Office,Rawalpindi,53.256,75.4071,Medical Supplies,Health,84983.24,3,14,1,4,2024,0,63397.5,1,1,same_day,0.7340503544365681,0.7377613776137761,0.4316920322291853
96561,29,2024-06-24 10:54:00,2024-06-26 10:54:00,Same Day,CLOSED,Late delivery,1,2,0,2,0.293,238513.02,0.0033,337257.41,1112.95,530213.9,Capital Territory,Rawalpindi,Federal,DEBIT,Corporate,Rawalpindi,-21.5938,151.3971,Garden Tools,Home & Garden,238513.02,2,10,0,6,2024,0,168628.7,1,1,same_day,0.7340503544365681,0.7377613776137761,0.4316920322291853
45476,30,2024-07-22 08:57:00,2024-07-30 08:57:00,Standard Class,COMPLETE,Late delivery,1,8,6,4,0.06,141417.31,0.0676,531729.09,35944.89,802391.49,Central Punjab,Lahore,Punjab,TRANSFER,Home Office,Lahore,64.2035,176.5748,Garden Tools,Home & Garden,141417.31,2,8,0,7,2024,0,132932.27,1,1,5-10_days,0.4820809248554913,0.479179810725552,0.7366829702089818
78409,31,2022-03-21 20:50:00,2022-03-26 20:50:00,Standard Class,COMPLETE,Late delivery,1,5,4,2,0.345,210353.37,0.094,275562.91,25902.91,293369.81,Capital Territory,Gilgit,Federal,TRANSFER,Consumer,Gilgit,64.1753,-54.6857,Personal Care,Health,210353.37,1,20,0,3,2022,0,137781.45,1,1,3-5_days,0.7340503544365681,0.7377613776137761,0.7366829702089818
88027,32,2021-07-07 08:00:00,2021-07-08 08:00:00,Same Day,COMPLETE,Shipping on time,0,1,0,4,0.11,135613.71,0.4194,482784.81,202479.95,1007291.8,North Balochistan,Quetta,Balochistan,PAYMENT,Corporate,Quetta,2.5911,-158.7897,Music,Books & Media,135613.71,1,8,2,7,2021,0,120696.2,1,1,same_day,0.6475729301995985,0.655679392933365,0.4316920322291853
11898,33,2023-12-20 09:12:00,2023-12-22 09:12:00,First Class,CLOSED,Shipping on time,0,2,2,3,0.017,116879.83,0.054,344678.62,18612.65,721048.27,North Balochistan,Khuzdar,Balochistan,TRANSFER,Corporate,Khuzdar,24.7869,-58.1259,Accessories,Clothing,116879.83,0,9,2,12,2023,0,114892.87,1,1,1-3_days,0.6475729301995985,0.655679392933365,0.5351926799225761
36504,34,2024-03-03 19:50:00,2024-03-09 19:50:00,Second Class,COMPLETE,Late delivery,1,6,5,2,0.093,61555.23,-0.0978,111661.19,-10920.46,105661.22,Capital Territory,Gilgit,Federal,DEBIT,Consumer,Gilgit,-50.7949,120.044,Snacks,Food,61555.23,1,19,6,3,2024,1,55830.6,1,0,3-5_days,0.7340503544365681,0.7377613776137761,0.6605610122997965
92522,35,2024-10-19 10:44:00,2024-10-21 10:44:00,Same Day,PENDING,Late delivery,1,2,0,2,0.265,153133.05,0.1689,225105.58,38020.33,426173.91,Northern Areas,Muzaffarabad,Federal,CASH,Corporate,Muzaffarabad,25.7178,-152.1086,Women's Fashion,Clothing,153133.05,2,10,5,10,2024,1,112552.79,1,1,same_day,0.7340503544365681,0.7303862035462716,0.4316920322291853
23990,36,2023-06-16 04:28:00,2023-06-20 04:28:00,First Class,COMPLETE,Late delivery,1,4,3,2,0.118,200445.16,0.0705,353585.26,24927.76,456043.99,Rural Sindh,Sukkur,Sindh,DEBIT,Consumer,Sukkur,48.7235,-51.8301,Books,Books & Media,200445.16,1,4,4,6,2023,0,176792.63,1,1,1-3_days,0.5224103055466837,0.5220072294280247,0.5351926799225761
44898,37,2024-10-31 07:37:00,2024-11-02 07:37:00,Same Day,COMPLETE,Late delivery,1,2,1,5,0.261,167499.96,-0.0299,618912.35,-18505.48,683709.11,Capital Territory,Gilgit,Federal,DEBIT,Home Office,Gilgit,52.7536,151.6552,Music,Books & Media,167499.96,1,7,3,10,2024,0,123782.47,1,0,same_day,0.7340503544365681,0.7377613776137761,0.4316920322291853
24669,39,2024-03-03 02:53:00,2024-03-07 02:53:00,First Class,COMPLETE,Late delivery,1,4,3,5,0.303,230284.0,0.0216,802539.74,17334.86,1581577.13,Capital Territory,Muzaffarabad,Federal,DEBIT,Corporate,Muzaffarabad,-16.0153,-48.3503,Team Sports,Sports,230284.0,1,2,6,3,2024,1,160507.95,1,1,1-3_days,0.7340503544365681,0.7377613776137761,0.5351926799225761
21046,40,2023-01-13 10:29:00,2023-01-16 10:29:00,Same Day,PENDING,Shipping on time,0,3,1,1,0.332,42011.45,0.3411,28063.65,9572.51,60129.46,North KPK,Swat,KPK,DEBIT,Home Office,Swat,-21.1529,149.1743,Furniture,Home & Garden,42011.45,2,10,4,1,2023,0,28063.65,1,1,same_day,0.5953805774278215,0.5940386230058774,0.4316920322291853
46189,41,2023-03-13 20:46:00,2023-03-15 20:46:00,Second Class,PENDING,Advance shipping,0,2,3,5,0.031,271203.24,-0.0979,1230612.4494,-128638.61,2400276.426300008,South KPK,Kohat,KPK,TRANSFER,Consumer,Kohat,-53.2386,-94.0306,Mobiles & Tablets,Electronics,271203.24,-1,20,0,3,2023,0,246122.49,1,0,1-3_days,0.5953805774278215,0.5967233774417139,0.6605610122997965
30487,42,2022-03-07 05:47:00,2022-03-10 05:47:00,First Class,CLOSED,Late delivery,1,3,2,4,0.206,67932.0,0.0391,215752.03,8435.9,425685.41,Rural Sindh,Larkana,Sindh,DEBIT,Corporate,Larkana,-11.1661,65.7829,Garden Tools,Home & Garden,67932.0,1,5,0,3,2022,0,53938.01,1,1,1-3_days,0.5224103055466837,0.5220072294280247,0.5351926799225761
92208,43,2023-06-24 12:45:00,2023-06-24 12:45:00,Same Day,COMPLETE,Shipping on time,0,0,0,3,0.055,138897.81,0.1797,393775.29,70761.42,654596.52,Urban Sindh,Karachi,Sindh,CASH,Corporate,Karachi,14.8552,-140.1018,Mobiles & Tablets,Electronics,138897.81,0,12,5,6,2023,1,131258.43,1,1,same_day,0.5224103055466837,0.522814498933902,0.4316920322291853
17863,44,2022-01-21 17:48:00,2022-01-21 17:48:00,Same Day,COMPLETE,Shipping on time,0,0,0,1,0.005,41747.31,0.2234,41538.57,9279.72,80232.68,Rural Sindh,Larkana,Sindh,TRANSFER,Home Office,Larkana,-32.569,60.0776,Tools & Equipment,Automotive,41747.31,0,17,4,1,2022,0,41538.57,1,1,same_day,0.5224103055466837,0.5220072294280247,0.4316920322291853
82448,45,2023-07-03 10:18:00,2023-07-08 10:18:00,First Class,COMPLETE,Late delivery,1,5,3,5,0.145,236579.77,0.1637,1011378.52,165562.66,1940551.3,North KPK,Kohat,KPK,CASH,Home Office,Kohat,-31.6589,-141.547,GPS & Navigation,Automotive,236579.77,2,10,0,7,2023,0,202275.7,1,1,1-3_days,0.5953805774278215,0.5940386230058774,0.5351926799225761
97838,46,2022-03-20 07:11:00,2022-03-25 07:11:00,Second Class,CLOSED,Late delivery,1,5,4,4,0.124,57351.41,0.3339,200959.34,67100.32,301898.31,Capital Territory,Muzaffarabad,Federal,PAYMENT,Corporate,Muzaffarabad,37.5762,110.675,GPS & Navigation,Automotive,57351.41,1,7,6,3,2022,1,50239.84,1,1,3-5_days,0.7340503544365681,0.7377613776137761,0.6605610122997965
18910,47,2022-11-13 03:29:00,2022-11-19 03:29:00,First Class,COMPLETE,Shipping on time,0,6,3,2,0.11,34094.59,0.4435,60688.37,26915.29,132905.33,Urban Sindh,Mirpur Khas,Sindh,PAYMENT,Home Office,Mirpur Khas,14.1702,130.9476,Outdoor Sports,Sports,34094.59,3,3,6,11,2022,1,30344.18,1,1,1-3_days,0.5224103055466837,0.522814498933902,0.5351926799225761
34118,49,2023-03-21 23:17:00,2023-03-22 23:17:00,Same Day,COMPLETE,Shipping on time,0,1,1,2,0.031,207099.28,0.2102,401358.4,84365.54,983446.6,Urban Sindh,Karachi,Sindh,TRANSFER,Consumer,Karachi,-8.9643,-100.8201,Snacks,Food,207099.28,0,23,1,3,2023,0,200679.2,1,1,same_day,0.5224103055466837,0.522814498933902,0.4316920322291853
73527,50,2024-04-18 20:23:00,2024-04-25 20:23:00,Standard Class,CLOSED,Late delivery,1,7,6,2,0.159,263346.73,-0.0282,442949.2,-12491.17,652928.39,Rural Sindh,Hyderabad,Sindh,DEBIT,Consumer,Hyderabad,0.3214,153.94,Books,Books & Media,263346.73,1,20,3,4,2024,0,221474.6,1,0,5-10_days,0.5224103055466837,0.5220072294280247,0.7366829702089818
73791,51,2022-03-15 01:11:00,2022-03-22 01:11:00,Standard Class,PENDING,Late delivery,1,7,6,4,0.016,105180.22,-0.0574,413989.35,-23762.99,440457.53,South KPK,Mardan,KPK,TRANSFER,Corporate,Mardan,47.0843,166.0281,Women's Fashion,Clothing,105180.22,1,1,1,3,2022,0,103497.34,1,0,5-10_days,0.5953805774278215,0.5967233774417139,0.7366829702089818
21396,52,2022-09-30 21:12:00,2022-10-06 21:12:00,Standard Class,PENDING,Shipping on time,0,6,5,2,0.213,44802.13,0.1031,70518.55,7270.46,142285.88,Central Punjab,Sialkot,Punjab,PAYMENT,Corporate,Sialkot,-21.845,-123.0632,Outdoor Sports,Sports,44802.13,1,21,4,9,2022,0,35259.28,1,1,3-5_days,0.4820809248554913,0.479179810725552,0.7366829702089818
81535,53,2023-06-05 21:41:00,2023-06-07 21:41:00,Same Day,PENDING,Late delivery,1,2,0,3,0.069,12801.52,-0.0701,35754.65,-2506.4,57040.26,North Punjab,Gujranwala,Punjab,TRANSFER,Home Office,Gujranwala,-43.044,-56.5938,Car Accessories,Automotive,12801.52,2,21,0,6,2023,0,11918.22,1,0,same_day,0.4820809248554913,0.4793103448275862,0.4316920322291853
61397,54,2021-02-19 01:28:00,2021-02-23 01:28:00,First Class,COMPLETE,Shipping on time,0,4,3,3,0.106,107198.77,0.137,287507.1,39388.47,414408.67,North Punjab,Faisalabad,Punjab,PAYMENT,Consumer,Faisalabad,-31.4703,-88.69,Mobiles & Tablets,Electronics,107198.77,1,1,4,2,2021,0,95835.7,1,1,1-3_days,0.4820809248554913,0.4793103448275862,0.5351926799225761
12149,55,2022-09-26 06:33:00,2022-09-28 06:33:00,Same Day,COMPLETE,Shipping on time,0,2,0,2,0.308,195998.78,0.3089,271262.31,83792.93,461130.13,Urban Sindh,Hyderabad,Sindh,PAYMENT,Home Office,Hyderabad,-23.2722,-94.9333,Furniture,Home & Garden,195998.78,2,6,0,9,2022,0,135631.16,1,1,same_day,0.5224103055466837,0.522814498933902,0.4316920322291853
28710,56,2022-01-13 12:24:00,2022-01-16 12:24:00,First Class,PENDING,Shipping on time,0,3,3,2,0.074,87437.22,0.4022,161933.73,65129.75,219674.52,Urban Sindh,Karachi,Sindh,TRANSFER,Consumer,Karachi,-38.7018,163.0858,Outdoor Sports,Sports,87437.22,0,12,3,1,2022,0,80966.87,1,1,1-3_days,0.5224103055466837,0.522814498933902,0.5351926799225761
99394,57,2023-04-26 17:52:00,2023-05-05 17:52:00,Second Class,CLOSED,Shipping on time,0,9,5,2,0.166,42011.45,-0.0698,70075.1,-4891.24,88281.96,South Punjab,Sialkot,Punjab,TRANSFER,Home Office,Sialkot,-42.3499,-2.0357,Furniture,Home & Garden,42011.45,4,17,2,4,2023,0,35037.55,1,0,3-5_days,0.4820809248554913,0.487797147385103,0.6605610122997965
88577,58,2023-06-01 13:25:00,2023-06-07 13:25:00,Second Class,COMPLETE,Shipping on time,0,6,4,3,0.035,55994.28,0.426,162103.44,69056.07,330541.08,North KPK,Peshawar,KPK,CASH,Home Office,Peshawar,25.3757,-99.2718,Tools & Equipment,Automotive,55994.28,2,13,3,6,2023,0,54034.48,1,1,3-5_days,0.5953805774278215,0.5940386230058774,0.6605610122997965
90750,59,2023-10-26 17:24:00,2023-11-06 17:24:00,Standard Class,CLOSED,Late delivery,1,11,7,5,0.243,114912.84,0.4257,434945.1,185156.13,1062939.46,North Balochistan,Chaman,Balochistan,PAYMENT,Home Office,Chaman,56.1253,37.2987,Cameras,Electronics,114912.84,4,17,3,10,2023,0,86989.02,1,1,5-10_days,0.6475729301995985,0.655679392933365,0.7366829702089818
52468,60,2024-08-24 21:58:00,2024-08-29 21:58:00,First Class,PENDING,Shipping on time,0,5,2,1,0.182,143525.41,0.135,117403.79,15849.51,177168.13,Rural Sindh,Larkana,Sindh,DEBIT,Corporate,Larkana,-55.4332,-116.9655,Team Sports,Sports,143525.41,3,21,5,8,2024,1,117403.79,1,1,1-3_days,0.5224103055466837,0.5220072294280247,0.5351926799225761
25899,61,2024-01-12 07:44:00,2024-01-14 07:44:00,First Class,PENDING,Advance shipping,0,2,3,1,0.191,92142.74,0.1995,74543.48,14871.42,109696.06,Central Punjab,Sialkot,Punjab,TRANSFER,Corporate,Sialkot,-56.7116,-48.3526,Grocery,Food,92142.74,-1,7,4,1,2024,0,74543.48,1,1,1-3_days,0.4820809248554913,0.479179810725552,0.5351926799225761
89943,62,2024-08-14 06:31:00,2024-08-17 06:31:00,Same Day,PENDING_PAYMENT,Shipping on time,0,3,1,5,0.339,50439.13,0.0362,166701.32,6034.59,289519.92,South KPK,Peshawar,KPK,DEBIT,Consumer,Peshawar,-36.8326,109.5379,Laptops,Electronics,50439.13,2,6,2,8,2024,0,33340.26,1,1,same_day,0.5953805774278215,0.5967233774417139,0.4316920322291853
30091,63,2023-03-01 06:06:00,2023-03-08 06:06:00,Second Class,COMPLETE,Late delivery,1,7,3,3,0.063,146867.69,-0.0968,412845.08,-39963.4,499039.89,Capital Territory,Rawalpindi,Federal,DEBIT,Consumer,Rawalpindi,-16.8673,-146.1019,Snacks,Food,146867.69,4,6,2,3,2023,0,137615.03,1,0,1-3_days,0.7340503544365681,0.7377613776137761,0.6605610122997965
82523,64,2023-03-20 20:48:00,2023-03-24 20:48:00,Second Class,PENDING,Late delivery,1,4,3,1,0.102,7939.82,-0.0973,7129.96,-693.75,7854.62,South KPK,Abbottabad,KPK,TRANSFER,Corporate,Abbottabad,32.1748,102.8033,Mobiles & Tablets,Electronics,7939.82,1,20,0,3,2023,0,7129.96,1,0,1-3_days,0.5953805774278215,0.5967233774417139,0.6605610122997965
12381,65,2023-05-24 15:11:00,2023-05-30 15:11:00,Standard Class,COMPLETE,Late delivery,1,6,5,1,0.064,241690.11,0.0912,226221.94,20631.44,526160.97,Northern Areas,Muzaffarabad,Federal,TRANSFER,Home Office,Muzaffarabad,51.7797,27.5146,Car Accessories,Automotive,241690.11,1,15,2,5,2023,0,226221.94,1,1,3-5_days,0.7340503544365681,0.7303862035462716,0.7366829702089818
93735,66,2024-03-24 22:44:00,2024-03-27 22:44:00,Same Day,COMPLETE,Late delivery,1,3,1,1,0.242,82461.33,0.2609,62505.69,16307.73,156018.2,Capital Territory,Islamabad,Federal,DEBIT,Corporate,Islamabad,45.0561,-170.8729,Mobiles & Tablets,Electronics,82461.33,2,22,6,3,2024,1,62505.69,1,1,same_day,0.7340503544365681,0.7377613776137761,0.4316920322291853
76887,67,2021-12-23 09:54:00,2021-12-27 09:54:00,Same Day,COMPLETE,Shipping on time,0,4,1,2,0.09,26989.36,0.0203,49120.64,997.15,115258.64,Northern Areas,Muzaffarabad,Federal,CASH,Consumer,Muzaffarabad,-13.0884,125.7585,Vitamins,Health,26989.36,3,9,3,12,2021,0,24560.32,1,1,same_day,0.7340503544365681,0.7303862035462716,0.4316920322291853
82410,68,2022-09-16 13:39:00,2022-09-19 13:39:00,First Class,COMPLETE,Shipping on time,0,3,2,4,0.342,240023.07,-0.0678,631740.72,-42832.02,991032.71,Central Punjab,Multan,Punjab,TRANSFER,Consumer,Multan,48.5958,-156.9753,Women's Fashion,Clothing,240023.07,1,13,4,9,2022,0,157935.18,1,0,1-3_days,0.4820809248554913,0.479179810725552,0.5351926799225761
36490,69,2022-06-06 01:02:00,2022-06-16 01:02:00,Second Class,PENDING,Shipping on time,0,10,5,5,0.003,48251.7,0.3783,240534.72,90994.28,308162.21,South Balochistan,Chaman,Balochistan,DEBIT,Home Office,Chaman,9.7698,124.9821,Vitamins,Health,48251.7,5,1,0,6,2022,0,48106.94,1,1,3-5_days,0.6475729301995985,0.6395294117647059,0.6605610122997965
48028,71,2021-03-29 05:05:00,2021-03-31 05:05:00,Same Day,COMPLETE,Late delivery,1,2,1,1,0.153,50792.51,0.2102,43021.26,9043.07,46530.13,Central Punjab,Sialkot,Punjab,TRANSFER,Home Office,Sialkot,-30.0904,-0.0181,GPS & Navigation,Automotive,50792.51,1,5,0,3,2021,0,43021.26,1,1,same_day,0.4820809248554913,0.479179810725552,0.4316920322291853
71378,72,2021-06-20 12:28:00,2021-06-23 12:28:00,Same Day,COMPLETE,Late delivery,1,3,1,1,0.281,248368.78,0.443,178577.15,79109.68,384107.19,Urban Sindh,Hyderabad,Sindh,CASH,Home Office,Hyderabad,-35.3838,-8.739,Men's Fashion,Clothing,248368.78,2,12,6,6,2021,1,178577.15,1,1,same_day,0.5224103055466837,0.522814498933902,0.4316920322291853
12063,73,2023-11-05 12:55:00,2023-11-11 12:55:00,Standard Class,COMPLETE,Late delivery,1,6,5,2,0.151,42679.1,0.0286,72469.11,2072.62,78996.73,Capital Territory,Gilgit,Federal,DEBIT,Corporate,Gilgit,66.3169,-57.0762,GPS & Navigation,Automotive,42679.1,1,12,6,11,2023,1,36234.56,1,1,3-5_days,0.7340503544365681,0.7377613776137761,0.7366829702089818
