shipping_mode,order_region,market,category_name,department_name,customer_segment,payment_type,days_for_shipment_scheduled,order_item_quantity,order_item_discount_rate,order_item_product_price,sales,revenue_per_unit,is_weekend_order,has_discount,order_hour,order_month,market_risk_score,region_risk_score,mode_risk_score,order_id,order_date,shipping_date,order_country,delivery_status,benefit_per_order,order_item_profit_ratio,shipping_delay_days,days_for_shipping_real,order_year,order_month.1,order_day_of_week,is_profitable,latitude,longitude
First Class,Rural Sindh,Sindh,Furniture,Home & Garden,Corporate,DEBIT,3,4,0.083,90348.94,331399.91,82849.98,0,1,21,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,70087,2021-06-18 21:46:00,2021-06-21 21:46:00,Karachi,Shipping on time,132791.94,0.4007,0,3,2021,6,4,1,7.6402,44.2072
Same Day,Northern Areas,Federal,Garden Tools,Home & Garden,Corporate,CASH,1,4,0.15,212438.48,722290.83,180572.71,0,1,8,10,0.7340503544365681,0.7303862035462716,0.4316920322291853,48072,2022-10-28 08:23:00,2022-11-01 08:23:00,Muzaffarabad,Shipping on time,135718.45,0.1879,3,4,2022,10,4,1,-3.3877,-74.0795
Standard Class,Rural Sindh,Sindh,Tools & Equipment,Automotive,Consumer,PAYMENT,6,5,0.176,80600.94,332075.87,66415.17,1,1,20,4,0.5224103055466837,0.5220072294280247,0.7366829702089818,64822,2022-04-24 20:04:00,2022-05-01 20:04:00,Sukkur,Late delivery,52667.23,0.1586,1,7,2022,4,6,1,-0.1686,41.106
Standard Class,North KPK,KPK,Books,Books & Media,Consumer,DEBIT,5,2,0.043,188552.15,360888.82,180444.41,0,1,18,3,0.5953805774278215,0.5940386230058774,0.7366829702089818,13120,2024-03-26 18:53:00,2024-04-01 18:53:00,Mardan,Late delivery,75714.47,0.2098,1,6,2024,3,1,1,40.0952,-61.6264
Same Day,North KPK,KPK,Car Accessories,Automotive,Consumer,PAYMENT,1,5,0.03,114265.28,554186.61,110837.32,1,1,17,5,0.5953805774278215,0.5940386230058774,0.4316920322291853,99865,2023-05-06 17:37:00,2023-05-08 17:37:00,Swat,Late delivery,-25326.33,-0.0457,1,2,2023,5,5,0,64.3205,58.8823
Same Day,Rural Sindh,Sindh,Medical Supplies,Health,Consumer,PAYMENT,1,3,0.286,238895.62,511714.42,170571.47,1,1,14,9,0.5224103055466837,0.5220072294280247,0.4316920322291853,60445,2024-09-28 14:48:00,2024-09-30 14:48:00,Karachi,Shipping on time,151365.13,0.2958,1,2,2024,9,5,1,41.3302,14.4275
First Class,Rural Sindh,Sindh,Team Sports,Sports,Corporate,PAYMENT,2,5,0.175,258955.35,1068190.82,213638.16,0,1,15,11,0.5224103055466837,0.5220072294280247,0.5351926799225761,71344,2023-11-30 15:33:00,2023-12-02 15:33:00,Sukkur,Shipping on time,395862.237500001,0.4478,0,2,2023,11,3,1,-57.4156,-91.7459
Second Class,Central Punjab,Punjab,Men's Fashion,Clothing,Home Office,TRANSFER,3,5,0.06,174788.06,821503.88,164300.78,0,1,11,2,0.4820809248554913,0.479179810725552,0.6605610122997965,71264,2024-02-09 11:44:00,2024-02-13 11:44:00,Sialkot,Shipping on time,291469.58,0.3548,1,4,2024,2,4,1,11.5208,-153.7629
Same Day,North Punjab,Punjab,Kitchen,Home & Garden,Consumer,DEBIT,1,4,0.071,241632.0,897904.51,224476.13,0,1,4,9,0.4820809248554913,0.4793103448275862,0.4316920322291853,31263,2023-09-08 04:19:00,2023-09-08 04:19:00,Sialkot,Advance shipping,-71293.62,-0.0794,-1,0,2023,9,4,0,15.4159,75.3499
Same Day,North KPK,KPK,Garden Tools,Home & Garden,Consumer,PAYMENT,1,2,0.244,141417.31,213822.97,106911.48,1,1,16,12,0.5953805774278215,0.5940386230058774,0.4316920322291853,84647,2022-12-04 16:31:00,2022-12-05 16:31:00,Kohat,Shipping on time,20420.09,0.0955,0,1,2022,12,6,1,-5.8118,-176.927
First Class,Central Punjab,Punjab,Movies & TV,Books & Media,Consumer,TRANSFER,2,5,0.074,273866.01,1230612.4494,246122.49,0,1,11,6,0.4820809248554913,0.479179810725552,0.5351926799225761,69384,2022-06-03 11:29:00,2022-06-06 11:29:00,Gujranwala,Shipping on time,-75953.18,-0.0599,1,3,2022,6,4,0,-7.9599,128.6975
Same Day,North Punjab,Punjab,Accessories,Clothing,Home Office,PAYMENT,0,2,0.23,77053.93,118663.05,59331.52,1,1,13,3,0.4820809248554913,0.4793103448275862,0.4316920322291853,81120,2023-03-25 13:58:00,2023-03-27 13:58:00,Gujranwala,Late delivery,1400.22,0.0118,2,2,2023,3,5,1,68.2164,-173.1252
First Class,Rural Sindh,Sindh,Garden Tools,Home & Garden,Corporate,CASH,2,1,0.242,132947.52,100774.22,100774.22,1,1,10,10,0.5224103055466837,0.5220072294280247,0.5351926799225761,86435,2021-10-16 10:43:00,2021-10-19 10:43:00,Karachi,Shipping on time,23178.07,0.23,1,3,2021,10,5,1,34.7497,-79.1853
Same Day,Capital Territory,Federal,Medical Supplies,Health,Home Office,DEBIT,1,5,0.254,84983.24,316987.49,63397.5,0,1,14,4,0.7340503544365681,0.7377613776137761,0.4316920322291853,16371,2024-04-23 14:12:00,2024-04-27 14:12:00,Rawalpindi,Late delivery,73984.88,0.2334,3,4,2024,4,1,1,53.256,75.4071
Same Day,Capital Territory,Federal,Garden Tools,Home & Garden,Corporate,DEBIT,0,2,0.293,238513.02,337257.41,168628.7,0,1,10,6,0.7340503544365681,0.7377613776137761,0.4316920322291853,96561,2024-06-24 10:54:00,2024-06-26 10:54:00,Rawalpindi,Late delivery,1112.95,0.0033,2,2,2024,6,0,1,-21.5938,151.3971
Standard Class,Central Punjab,Punjab,Garden Tools,Home & Garden,Home Office,TRANSFER,6,4,0.06,141417.31,531729.09,132932.27,0,1,8,7,0.4820809248554913,0.479179810725552,0.7366829702089818,45476,2024-07-22 08:57:00,2024-07-30 08:57:00,Lahore,Late delivery,35944.89,0.0676,2,8,2024,7,0,1,64.2035,176.5748
Standard Class,Capital Territory,Federal,Personal Care,Health,Consumer,TRANSFER,4,2,0.345,210353.37,275562.91,137781.45,0,1,20,3,0.7340503544365681,0.7377613776137761,0.7366829702089818,78409,2022-03-21 20:50:00,2022-03-26 20:50:00,Gilgit,Late delivery,25902.91,0.094,1,5,2022,3,0,1,64.1753,-54.6857
Same Day,North Balochistan,Balochistan,Music,Books & Media,Corporate,PAYMENT,0,4,0.11,135613.71,482784.81,120696.2,0,1,8,7,0.6475729301995985,0.655679392933365,0.4316920322291853,88027,2021-07-07 08:00:00,2021-07-08 08:00:00,Quetta,Shipping on time,202479.95,0.4194,1,1,2021,7,2,1,2.5911,-158.7897
First Class,North Balochistan,Balochistan,Accessories,Clothing,Corporate,TRANSFER,2,3,0.017,116879.83,344678.62,114892.87,0,1,9,12,0.6475729301995985,0.655679392933365,0.5351926799225761,11898,2023-12-20 09:12:00,2023-12-22 09:12:00,Khuzdar,Shipping on time,18612.65,0.054,0,2,2023,12,2,1,24.7869,-58.1259
Second Class,Capital Territory,Federal,Snacks,Food,Consumer,DEBIT,5,2,0.093,61555.23,111661.19,55830.6,1,1,19,3,0.7340503544365681,0.7377613776137761,0.6605610122997965,36504,2024-03-03 19:50:00,2024-03-09 19:50:00,Gilgit,Late delivery,-10920.46,-0.0978,1,6,2024,3,6,0,-50.7949,120.044
Same Day,Northern Areas,Federal,Women's Fashion,Clothing,Corporate,CASH,0,2,0.265,153133.05,225105.58,112552.79,1,1,10,10,0.7340503544365681,0.7303862035462716,0.4316920322291853,92522,2024-10-19 10:44:00,2024-10-21 10:44:00,Muzaffarabad,Late delivery,38020.33,0.1689,2,2,2024,10,5,1,25.7178,-152.1086
First Class,Rural Sindh,Sindh,Books,Books & Media,Consumer,DEBIT,3,2,0.118,200445.16,353585.26,176792.63,0,1,4,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,23990,2023-06-16 04:28:00,2023-06-20 04:28:00,Sukkur,Late delivery,24927.76,0.0705,1,4,2023,6,4,1,48.7235,-51.8301
Same Day,Capital Territory,Federal,Music,Books & Media,Home Office,DEBIT,1,5,0.261,167499.96,618912.35,123782.47,0,1,7,10,0.7340503544365681,0.7377613776137761,0.4316920322291853,44898,2024-10-31 07:37:00,2024-11-02 07:37:00,Gilgit,Late delivery,-18505.48,-0.0299,1,2,2024,10,3,0,52.7536,151.6552
First Class,Capital Territory,Federal,Team Sports,Sports,Corporate,DEBIT,3,5,0.303,230284.0,802539.74,160507.95,1,1,2,3,0.7340503544365681,0.7377613776137761,0.5351926799225761,24669,2024-03-03 02:53:00,2024-03-07 02:53:00,Muzaffarabad,Late delivery,17334.86,0.0216,1,4,2024,3,6,1,-16.0153,-48.3503
Same Day,North KPK,KPK,Furniture,Home & Garden,Home Office,DEBIT,1,1,0.332,42011.45,28063.65,28063.65,0,1,10,1,0.5953805774278215,0.5940386230058774,0.4316920322291853,21046,2023-01-13 10:29:00,2023-01-16 10:29:00,Swat,Shipping on time,9572.51,0.3411,2,3,2023,1,4,1,-21.1529,149.1743
Second Class,South KPK,KPK,Mobiles & Tablets,Electronics,Consumer,TRANSFER,3,5,0.031,271203.24,1230612.4494,246122.49,0,1,20,3,0.5953805774278215,0.5967233774417139,0.6605610122997965,46189,2023-03-13 20:46:00,2023-03-15 20:46:00,Kohat,Advance shipping,-128638.61,-0.0979,-1,2,2023,3,0,0,-53.2386,-94.0306
First Class,Rural Sindh,Sindh,Garden Tools,Home & Garden,Corporate,DEBIT,2,4,0.206,67932.0,215752.03,53938.01,0,1,5,3,0.5224103055466837,0.5220072294280247,0.5351926799225761,30487,2022-03-07 05:47:00,2022-03-10 05:47:00,Larkana,Late delivery,8435.9,0.0391,1,3,2022,3,0,1,-11.1661,65.7829
Same Day,Urban Sindh,Sindh,Mobiles & Tablets,Electronics,Corporate,CASH,0,3,0.055,138897.81,393775.29,131258.43,1,1,12,6,0.5224103055466837,0.522814498933902,0.4316920322291853,92208,2023-06-24 12:45:00,2023-06-24 12:45:00,Karachi,Shipping on time,70761.42,0.1797,0,0,2023,6,5,1,14.8552,-140.1018
Same Day,Rural Sindh,Sindh,Tools & Equipment,Automotive,Home Office,TRANSFER,0,1,0.005,41747.31,41538.57,41538.57,0,1,17,1,0.5224103055466837,0.5220072294280247,0.4316920322291853,17863,2022-01-21 17:48:00,2022-01-21 17:48:00,Larkana,Shipping on time,9279.72,0.2234,0,0,2022,1,4,1,-32.569,60.0776
First Class,North KPK,KPK,GPS & Navigation,Automotive,Home Office,CASH,3,5,0.145,236579.77,1011378.52,202275.7,0,1,10,7,0.5953805774278215,0.5940386230058774,0.5351926799225761,82448,2023-07-03 10:18:00,2023-07-08 10:18:00,Kohat,Late delivery,165562.66,0.1637,2,5,2023,7,0,1,-31.6589,-141.547
Second Class,Capital Territory,Federal,GPS & Navigation,Automotive,Corporate,PAYMENT,4,4,0.124,57351.41,200959.34,50239.84,1,1,7,3,0.7340503544365681,0.7377613776137761,0.6605610122997965,97838,2022-03-20 07:11:00,2022-03-25 07:11:00,Muzaffarabad,Late delivery,67100.32,0.3339,1,5,2022,3,6,1,37.5762,110.675
First Class,Urban Sindh,Sindh,Outdoor Sports,Sports,Home Office,PAYMENT,3,2,0.11,34094.59,60688.37,30344.18,1,1,3,11,0.5224103055466837,0.522814498933902,0.5351926799225761,18910,2022-11-13 03:29:00,2022-11-19 03:29:00,Mirpur Khas,Shipping on time,26915.29,0.4435,3,6,2022,11,6,1,14.1702,130.9476
Same Day,Urban Sindh,Sindh,Snacks,Food,Consumer,TRANSFER,1,2,0.031,207099.28,401358.4,200679.2,0,1,23,3,0.5224103055466837,0.522814498933902,0.4316920322291853,34118,2023-03-21 23:17:00,2023-03-22 23:17:00,Karachi,Shipping on time,84365.54,0.2102,0,1,2023,3,1,1,-8.9643,-100.8201
Standard Class,Rural Sindh,Sindh,Books,Books & Media,Consumer,DEBIT,6,2,0.159,263346.73,442949.2,221474.6,0,1,20,4,0.5224103055466837,0.5220072294280247,0.7366829702089818,73527,2024-04-18 20:23:00,2024-04-25 20:23:00,Hyderabad,Late delivery,-12491.17,-0.0282,1,7,2024,4,3,0,0.3214,153.94
Standard Class,South KPK,KPK,Women's Fashion,Clothing,Corporate,TRANSFER,6,4,0.016,105180.22,413989.35,103497.34,0,1,1,3,0.5953805774278215,0.5967233774417139,0.7366829702089818,73791,2022-03-15 01:11:00,2022-03-22 01:11:00,Mardan,Late delivery,-23762.99,-0.0574,1,7,2022,3,1,0,47.0843,166.0281
Standard Class,Central Punjab,Punjab,Outdoor Sports,Sports,Corporate,PAYMENT,5,2,0.213,44802.13,70518.55,35259.28,0,1,21,9,0.4820809248554913,0.479179810725552,0.7366829702089818,21396,2022-09-30 21:12:00,2022-10-06 21:12:00,Sialkot,Shipping on time,7270.46,0.1031,1,6,2022,9,4,1,-21.845,-123.0632
Same Day,North Punjab,Punjab,Car Accessories,Automotive,Home Office,TRANSFER,0,3,0.069,12801.52,35754.65,11918.22,0,1,21,6,0.4820809248554913,0.4793103448275862,0.4316920322291853,81535,2023-06-05 21:41:00,2023-06-07 21:41:00,Gujranwala,Late delivery,-2506.4,-0.0701,2,2,2023,6,0,0,-43.044,-56.5938
First Class,North Punjab,Punjab,Mobiles & Tablets,Electronics,Consumer,PAYMENT,3,3,0.106,107198.77,287507.1,95835.7,0,1,1,2,0.4820809248554913,0.4793103448275862,0.5351926799225761,61397,2021-02-19 01:28:00,2021-02-23 01:28:00,Faisalabad,Shipping on time,39388.47,0.137,1,4,2021,2,4,1,-31.4703,-88.69
Same Day,Urban Sindh,Sindh,Furniture,Home & Garden,Home Office,PAYMENT,0,2,0.308,195998.78,271262.31,135631.16,0,1,6,9,0.5224103055466837,0.522814498933902,0.4316920322291853,12149,2022-09-26 06:33:00,2022-09-28 06:33:00,Hyderabad,Shipping on time,83792.93,0.3089,2,2,2022,9,0,1,-23.2722,-94.9333
First Class,Urban Sindh,Sindh,Outdoor Sports,Sports,Consumer,TRANSFER,3,2,0.074,87437.22,161933.73,80966.87,0,1,12,1,0.5224103055466837,0.522814498933902,0.5351926799225761,28710,2022-01-13 12:24:00,2022-01-16 12:24:00,Karachi,Shipping on time,65129.75,0.4022,0,3,2022,1,3,1,-38.7018,163.0858
Second Class,South Punjab,Punjab,Furniture,Home & Garden,Home Office,TRANSFER,5,2,0.166,42011.45,70075.1,35037.55,0,1,17,4,0.4820809248554913,0.487797147385103,0.6605610122997965,99394,2023-04-26 17:52:00,2023-05-05 17:52:00,Sialkot,Shipping on time,-4891.24,-0.0698,4,9,2023,4,2,0,-42.3499,-2.0357
Second Class,North KPK,KPK,Tools & Equipment,Automotive,Home Office,CASH,4,3,0.035,55994.28,162103.44,54034.48,0,1,13,6,0.5953805774278215,0.5940386230058774,0.6605610122997965,88577,2023-06-01 13:25:00,2023-06-07 13:25:00,Peshawar,Shipping on time,69056.07,0.426,2,6,2023,6,3,1,25.3757,-99.2718
Standard Class,North Balochistan,Balochistan,Cameras,Electronics,Home Office,PAYMENT,7,5,0.243,114912.84,434945.1,86989.02,0,1,17,10,0.6475729301995985,0.655679392933365,0.7366829702089818,90750,2023-10-26 17:24:00,2023-11-06 17:24:00,Chaman,Late delivery,185156.13,0.4257,4,11,2023,10,3,1,56.1253,37.2987
First Class,Rural Sindh,Sindh,Team Sports,Sports,Corporate,DEBIT,2,1,0.182,143525.41,117403.79,117403.79,1,1,21,8,0.5224103055466837,0.5220072294280247,0.5351926799225761,52468,2024-08-24 21:58:00,2024-08-29 21:58:00,Larkana,Shipping on time,15849.51,0.135,3,5,2024,8,5,1,-55.4332,-116.9655
First Class,Central Punjab,Punjab,Grocery,Food,Corporate,TRANSFER,3,1,0.191,92142.74,74543.48,74543.48,0,1,7,1,0.4820809248554913,0.479179810725552,0.5351926799225761,25899,2024-01-12 07:44:00,2024-01-14 07:44:00,Sialkot,Advance shipping,14871.42,0.1995,-1,2,2024,1,4,1,-56.7116,-48.3526
Same Day,South KPK,KPK,Laptops,Electronics,Consumer,DEBIT,1,5,0.339,50439.13,166701.32,33340.26,0,1,6,8,0.5953805774278215,0.5967233774417139,0.4316920322291853,89943,2024-08-14 06:31:00,2024-08-17 06:31:00,Peshawar,Shipping on time,6034.59,0.0362,2,3,2024,8,2,1,-36.8326,109.5379
Second Class,Capital Territory,Federal,Snacks,Food,Consumer,DEBIT,3,3,0.063,146867.69,412845.08,137615.03,0,1,6,3,0.7340503544365681,0.7377613776137761,0.6605610122997965,30091,2023-03-01 06:06:00,2023-03-08 06:06:00,Rawalpindi,Late delivery,-39963.4,-0.0968,4,7,2023,3,2,0,-16.8673,-146.1019
Second Class,South KPK,KPK,Mobiles & Tablets,Electronics,Corporate,TRANSFER,3,1,0.102,7939.82,7129.96,7129.96,0,1,20,3,0.5953805774278215,0.5967233774417139,0.6605610122997965,82523,2023-03-20 20:48:00,2023-03-24 20:48:00,Abbottabad,Late delivery,-693.75,-0.0973,1,4,2023,3,0,0,32.1748,102.8033
Standard Class,Northern Areas,Federal,Car Accessories,Automotive,Home Office,TRANSFER,5,1,0.064,241690.11,226221.94,226221.94,0,1,15,5,0.7340503544365681,0.7303862035462716,0.7366829702089818,12381,2023-05-24 15:11:00,2023-05-30 15:11:00,Muzaffarabad,Late delivery,20631.44,0.0912,1,6,2023,5,2,1,51.7797,27.5146
Same Day,Capital Territory,Federal,Mobiles & Tablets,Electronics,Corporate,DEBIT,1,1,0.242,82461.33,62505.69,62505.69,1,1,22,3,0.7340503544365681,0.7377613776137761,0.4316920322291853,93735,2024-03-24 22:44:00,2024-03-27 22:44:00,Islamabad,Late delivery,16307.73,0.2609,2,3,2024,3,6,1,45.0561,-170.8729
Same Day,Northern Areas,Federal,Vitamins,Health,Consumer,CASH,1,2,0.09,26989.36,49120.64,24560.32,0,1,9,12,0.7340503544365681,0.7303862035462716,0.4316920322291853,76887,2021-12-23 09:54:00,2021-12-27 09:54:00,Muzaffarabad,Shipping on time,997.15,0.0203,3,4,2021,12,3,1,-13.0884,125.7585
First Class,Central Punjab,Punjab,Women's Fashion,Clothing,Consumer,TRANSFER,2,4,0.342,240023.07,631740.72,157935.18,0,1,13,9,0.4820809248554913,0.479179810725552,0.5351926799225761,82410,2022-09-16 13:39:00,2022-09-19 13:39:00,Multan,Shipping on time,-42832.02,-0.0678,1,3,2022,9,4,0,48.5958,-156.9753
Second Class,South Balochistan,Balochistan,Vitamins,Health,Home Office,DEBIT,5,5,0.003,48251.7,240534.72,48106.94,0,1,1,6,0.6475729301995985,0.6395294117647059,0.6605610122997965,36490,2022-06-06 01:02:00,2022-06-16 01:02:00,Chaman,Shipping on time,90994.28,0.3783,5,10,2022,6,0,1,9.7698,124.9821
Same Day,Central Punjab,Punjab,GPS & Navigation,Automotive,Home Office,TRANSFER,1,1,0.153,50792.51,43021.26,43021.26,0,1,5,3,0.4820809248554913,0.479179810725552,0.4316920322291853,48028,2021-03-29 05:05:00,2021-03-31 05:05:00,Sialkot,Late delivery,9043.07,0.2102,1,2,2021,3,0,1,-30.0904,-0.0181
Same Day,Urban Sindh,Sindh,Men's Fashion,Clothing,Home Office,CASH,1,1,0.281,248368.78,178577.15,178577.15,1,1,12,6,0.5224103055466837,0.522814498933902,0.4316920322291853,71378,2021-06-20 12:28:00,2021-06-23 12:28:00,Hyderabad,Late delivery,79109.68,0.443,2,3,2021,6,6,1,-35.3838,-8.739
Standard Class,Capital Territory,Federal,GPS & Navigation,Automotive,Corporate,DEBIT,5,2,0.151,42679.1,72469.11,36234.56,1,1,12,11,0.7340503544365681,0.7377613776137761,0.7366829702089818,12063,2023-11-05 12:55:00,2023-11-11 12:55:00,Gilgit,Late delivery,2072.62,0.0286,1,6,2023,11,6,1,66.3169,-57.0762
Standard Class,Urban Sindh,Sindh,Team Sports,Sports,Consumer,TRANSFER,6,3,0.057,218927.68,619346.41,206448.8,0,1,0,10,0.5224103055466837,0.522814498933902,0.7366829702089818,74145,2022-10-17 00:33:00,2022-10-24 00:33:00,Hyderabad,Late delivery,37284.65,0.0602,1,7,2022,10,0,1,64.1424,-35.3487
First Class,South KPK,KPK,Audio,Electronics,Consumer,DEBIT,3,1,0.228,229687.58,177318.81,177318.81,0,1,17,1,0.5953805774278215,0.5967233774417139,0.5351926799225761,96491,2021-01-15 17:41:00,2021-01-19 17:41:00,Abbottabad,Late delivery,20568.98,0.116,1,4,2021,1,4,1,51.5484,23.7865
Second Class,Northern Areas,Federal,Music,Books & Media,Consumer,TRANSFER,4,2,0.159,69478.99,116863.66,58431.83,0,1,15,6,0.7340503544365681,0.7303862035462716,0.6605610122997965,68024,2021-06-22 15:57:00,2021-06-27 15:57:00,Muzaffarabad,Shipping on time,26551.42,0.2272,1,5,2021,6,1,1,26.8888,112.451
Standard Class,Urban Sindh,Sindh,Kitchen,Home & Garden,Corporate,CASH,4,1,0.263,227066.32,167347.88,167347.88,0,1,4,4,0.5224103055466837,0.522814498933902,0.7366829702089818,35333,2022-04-29 04:00:00,2022-05-06 04:00:00,Sukkur,Late delivery,-10911.08,-0.0652,3,7,2022,4,4,0,31.5654,-30.7428
Same Day,Central Punjab,Punjab,Fitness Equipment,Sports,Consumer,PAYMENT,0,1,0.14,278047.13,239120.53,239120.53,0,1,11,3,0.4820809248554913,0.479179810725552,0.4316920322291853,98396,2021-03-22 11:01:00,2021-03-22 11:01:00,Sialkot,Shipping on time,-15471.1,-0.0647,0,0,2021,3,0,0,39.9159,75.6019
Second Class,Capital Territory,Federal,Fitness Equipment,Sports,Corporate,DEBIT,4,3,0.19,255572.25,621040.57,207013.52,1,1,19,9,0.7340503544365681,0.7377613776137761,0.6605610122997965,42303,2024-09-14 19:01:00,2024-09-21 19:01:00,Rawalpindi,Late delivery,-34716.17,-0.0559,3,7,2024,9,5,0,-20.8819,-144.1019
Standard Class,Capital Territory,Federal,Fitness Equipment,Sports,Corporate,PAYMENT,4,4,0.163,213809.45,715834.04,178958.51,1,1,10,7,0.7340503544365681,0.7377613776137761,0.7366829702089818,19335,2022-07-16 10:44:00,2022-07-25 10:44:00,Islamabad,Shipping on time,92271.01,0.1289,5,9,2022,7,5,1,-25.5824,-179.1956
First Class,Capital Territory,Federal,Mobiles & Tablets,Electronics,Corporate,CASH,3,4,0.148,89861.39,306247.62,76561.9,1,1,18,3,0.7340503544365681,0.7377613776137761,0.5351926799225761,73330,2021-03-21 18:09:00,2021-03-27 18:09:00,Muzaffarabad,Late delivery,25142.93,0.0821,3,6,2021,3,6,1,29.2664,-162.2966
Second Class,Capital Territory,Federal,Car Accessories,Automotive,Corporate,TRANSFER,3,3,0.158,191474.63,483664.92,161221.64,0,1,22,5,0.7340503544365681,0.7377613776137761,0.6605610122997965,67727,2022-05-31 22:22:00,2022-06-05 22:22:00,Rawalpindi,Late delivery,184131.24,0.3807,2,5,2022,5,1,1,57.361,77.1501
Second Class,Rural Sindh,Sindh,Mobiles & Tablets,Electronics,Consumer,TRANSFER,5,2,0.186,138897.81,226125.63,113062.82,1,1,20,12,0.5224103055466837,0.5220072294280247,0.6605610122997965,82827,2022-12-25 20:37:00,2022-12-30 20:37:00,Mirpur Khas,Shipping on time,42579.46,0.1883,0,5,2022,12,6,1,-20.7472,-69.4924
First Class,North Balochistan,Balochistan,Personal Care,Health,Home Office,PAYMENT,2,2,0.25,272219.5,408329.25,204164.62,1,1,16,3,0.6475729301995985,0.655679392933365,0.5351926799225761,50414,2024-03-24 16:25:00,2024-03-30 16:25:00,Turbat,Shipping on time,138831.95,0.34,4,6,2024,3,6,1,53.5823,-128.8355
First Class,North Punjab,Punjab,Beverages,Food,Consumer,CASH,3,4,0.279,88443.41,255070.79,63767.7,1,1,17,4,0.4820809248554913,0.4793103448275862,0.5351926799225761,41424,2024-04-14 17:14:00,2024-04-17 17:14:00,Sialkot,Shipping on time,23134.92,0.0907,0,3,2024,4,6,1,-46.0718,-2.3816
