shipping_mode,order_region,market,category_name,department_name,customer_segment,payment_type,days_for_shipment_scheduled,order_item_quantity,order_item_discount_rate,order_item_product_price,sales,revenue_per_unit,is_weekend_order,has_discount,order_hour,order_month,market_risk_score,region_risk_score,mode_risk_score,late_delivery_risk
Standard Class,Rural Sindh,Sindh,Tools & Equipment,Automotive,Consumer,PAYMENT,6,5,0.176,80600.94,332075.87,66415.17,1,1,20,4,0.5224103055466837,0.5220072294280247,0.7366829702089818,1
Standard Class,North KPK,KPK,Books,Books & Media,Consumer,DEBIT,5,2,0.043,188552.15,360888.82,180444.41,0,1,18,3,0.5953805774278215,0.5940386230058774,0.7366829702089818,1
Same Day,North KPK,KPK,Car Accessories,Automotive,Consumer,PAYMENT,1,5,0.03,114265.28,554186.61,110837.32,1,1,17,5,0.5953805774278215,0.5940386230058774,0.4316920322291853,1
Same Day,Rural Sindh,Sindh,Medical Supplies,Health,Consumer,PAYMENT,1,3,0.286,238895.62,511714.42,170571.47,1,1,14,9,0.5224103055466837,0.5220072294280247,0.4316920322291853,0
First Class,Rural Sindh,Sindh,Team Sports,Sports,Corporate,PAYMENT,2,5,0.175,258955.35,1068190.82,213638.16,0,1,15,11,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Second Class,Central Punjab,Punjab,Men's Fashion,Clothing,Home Office,TRANSFER,3,5,0.06,174788.06,821503.88,164300.78,0,1,11,2,0.4820809248554913,0.479179810725552,0.6605610122997965,0
Same Day,North Punjab,Punjab,Kitchen,Home & Garden,Consumer,DEBIT,1,4,0.071,241632.0,897904.51,224476.13,0,1,4,9,0.4820809248554913,0.4793103448275862,0.4316920322291853,0
Same Day,North KPK,KPK,Garden Tools,Home & Garden,Consumer,PAYMENT,1,2,0.244,141417.31,213822.97,106911.48,1,1,16,12,0.5953805774278215,0.5940386230058774,0.4316920322291853,0
First Class,Central Punjab,Punjab,Movies & TV,Books & Media,Consumer,TRANSFER,2,5,0.074,273866.01,1230612.4494,246122.49,0,1,11,6,0.4820809248554913,0.479179810725552,0.5351926799225761,0
Same Day,North Punjab,Punjab,Accessories,Clothing,Home Office,PAYMENT,0,2,0.23,77053.93,118663.05,59331.52,1,1,13,3,0.4820809248554913,0.4793103448275862,0.4316920322291853,1
First Class,Rural Sindh,Sindh,Garden Tools,Home & Garden,Corporate,CASH,2,1,0.242,132947.52,100774.22,100774.22,1,1,10,10,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Same Day,Capital Territory,Federal,Medical Supplies,Health,Home Office,DEBIT,1,5,0.254,84983.24,316987.49,63397.5,0,1,14,4,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Same Day,Capital Territory,Federal,Garden Tools,Home & Garden,Corporate,DEBIT,0,2,0.293,238513.02,337257.41,168628.7,0,1,10,6,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Standard Class,Central Punjab,Punjab,Garden Tools,Home & Garden,Home Office,TRANSFER,6,4,0.06,141417.31,531729.09,132932.27,0,1,8,7,0.4820809248554913,0.479179810725552,0.7366829702089818,1
Standard Class,Capital Territory,Federal,Personal Care,Health,Consumer,TRANSFER,4,2,0.345,210353.37,275562.91,137781.45,0,1,20,3,0.7340503544365681,0.7377613776137761,0.7366829702089818,1
Same Day,North Balochistan,Balochistan,Music,Books & Media,Corporate,PAYMENT,0,4,0.11,135613.71,482784.81,120696.2,0,1,8,7,0.6475729301995985,0.655679392933365,0.4316920322291853,0
First Class,North Balochistan,Balochistan,Accessories,Clothing,Corporate,TRANSFER,2,3,0.017,116879.83,344678.62,114892.87,0,1,9,12,0.6475729301995985,0.655679392933365,0.5351926799225761,0
Second Class,Capital Territory,Federal,Snacks,Food,Consumer,DEBIT,5,2,0.093,61555.23,111661.19,55830.6,1,1,19,3,0.7340503544365681,0.7377613776137761,0.6605610122997965,1
Same Day,Northern Areas,Federal,Women's Fashion,Clothing,Corporate,CASH,0,2,0.265,153133.05,225105.58,112552.79,1,1,10,10,0.7340503544365681,0.7303862035462716,0.4316920322291853,1
First Class,Rural Sindh,Sindh,Books,Books & Media,Consumer,DEBIT,3,2,0.118,200445.16,353585.26,176792.63,0,1,4,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
Same Day,Capital Territory,Federal,Music,Books & Media,Home Office,DEBIT,1,5,0.261,167499.96,618912.35,123782.47,0,1,7,10,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
First Class,Capital Territory,Federal,Team Sports,Sports,Corporate,DEBIT,3,5,0.303,230284.0,802539.74,160507.95,1,1,2,3,0.7340503544365681,0.7377613776137761,0.5351926799225761,1
Same Day,North KPK,KPK,Furniture,Home & Garden,Home Office,DEBIT,1,1,0.332,42011.45,28063.65,28063.65,0,1,10,1,0.5953805774278215,0.5940386230058774,0.4316920322291853,0
Second Class,South KPK,KPK,Mobiles & Tablets,Electronics,Consumer,TRANSFER,3,5,0.031,271203.24,1230612.4494,246122.49,0,1,20,3,0.5953805774278215,0.5967233774417139,0.6605610122997965,0
First Class,Rural Sindh,Sindh,Garden Tools,Home & Garden,Corporate,DEBIT,2,4,0.206,67932.0,215752.03,53938.01,0,1,5,3,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
Same Day,Urban Sindh,Sindh,Mobiles & Tablets,Electronics,Corporate,CASH,0,3,0.055,138897.81,393775.29,131258.43,1,1,12,6,0.5224103055466837,0.522814498933902,0.4316920322291853,0
Same Day,Rural Sindh,Sindh,Tools & Equipment,Automotive,Home Office,TRANSFER,0,1,0.005,41747.31,41538.57,41538.57,0,1,17,1,0.5224103055466837,0.5220072294280247,0.4316920322291853,0
First Class,North KPK,KPK,GPS & Navigation,Automotive,Home Office,CASH,3,5,0.145,236579.77,1011378.52,202275.7,0,1,10,7,0.5953805774278215,0.5940386230058774,0.5351926799225761,1
Second Class,Capital Territory,Federal,GPS & Navigation,Automotive,Corporate,PAYMENT,4,4,0.124,57351.41,200959.34,50239.84,1,1,7,3,0.7340503544365681,0.7377613776137761,0.6605610122997965,1
First Class,Urban Sindh,Sindh,Outdoor Sports,Sports,Home Office,PAYMENT,3,2,0.11,34094.59,60688.37,30344.18,1,1,3,11,0.5224103055466837,0.522814498933902,0.5351926799225761,0
Same Day,Urban Sindh,Sindh,Snacks,Food,Consumer,TRANSFER,1,2,0.031,207099.28,401358.4,200679.2,0,1,23,3,0.5224103055466837,0.522814498933902,0.4316920322291853,0
Standard Class,Rural Sindh,Sindh,Books,Books & Media,Consumer,DEBIT,6,2,0.159,263346.73,442949.2,221474.6,0,1,20,4,0.5224103055466837,0.5220072294280247,0.7366829702089818,1
Standard Class,South KPK,KPK,Women's Fashion,Clothing,Corporate,TRANSFER,6,4,0.016,105180.22,413989.35,103497.34,0,1,1,3,0.5953805774278215,0.5967233774417139,0.7366829702089818,1
Standard Class,Central Punjab,Punjab,Outdoor Sports,Sports,Corporate,PAYMENT,5,2,0.213,44802.13,70518.55,35259.28,0,1,21,9,0.4820809248554913,0.479179810725552,0.7366829702089818,0
Same Day,North Punjab,Punjab,Car Accessories,Automotive,Home Office,TRANSFER,0,3,0.069,12801.52,35754.65,11918.22,0,1,21,6,0.4820809248554913,0.4793103448275862,0.4316920322291853,1
First Class,North Punjab,Punjab,Mobiles & Tablets,Electronics,Consumer,PAYMENT,3,3,0.106,107198.77,287507.1,95835.7,0,1,1,2,0.4820809248554913,0.4793103448275862,0.5351926799225761,0
Same Day,Urban Sindh,Sindh,Furniture,Home & Garden,Home Office,PAYMENT,0,2,0.308,195998.78,271262.31,135631.16,0,1,6,9,0.5224103055466837,0.522814498933902,0.4316920322291853,0
First Class,Urban Sindh,Sindh,Outdoor Sports,Sports,Consumer,TRANSFER,3,2,0.074,87437.22,161933.73,80966.87,0,1,12,1,0.5224103055466837,0.522814498933902,0.5351926799225761,0
Second Class,South Punjab,Punjab,Furniture,Home & Garden,Home Office,TRANSFER,5,2,0.166,42011.45,70075.1,35037.55,0,1,17,4,0.4820809248554913,0.487797147385103,0.6605610122997965,0
Second Class,North KPK,KPK,Tools & Equipment,Automotive,Home Office,CASH,4,3,0.035,55994.28,162103.44,54034.48,0,1,13,6,0.5953805774278215,0.5940386230058774,0.6605610122997965,0
Standard Class,North Balochistan,Balochistan,Cameras,Electronics,Home Office,PAYMENT,7,5,0.243,114912.84,434945.1,86989.02,0,1,17,10,0.6475729301995985,0.655679392933365,0.7366829702089818,1
First Class,Rural Sindh,Sindh,Team Sports,Sports,Corporate,DEBIT,2,1,0.182,143525.41,117403.79,117403.79,1,1,21,8,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
First Class,Central Punjab,Punjab,Grocery,Food,Corporate,TRANSFER,3,1,0.191,92142.74,74543.48,74543.48,0,1,7,1,0.4820809248554913,0.479179810725552,0.5351926799225761,0
Same Day,South KPK,KPK,Laptops,Electronics,Consumer,DEBIT,1,5,0.339,50439.13,166701.32,33340.26,0,1,6,8,0.5953805774278215,0.5967233774417139,0.4316920322291853,0
Second Class,Capital Territory,Federal,Snacks,Food,Consumer,DEBIT,3,3,0.063,146867.69,412845.08,137615.03,0,1,6,3,0.7340503544365681,0.7377613776137761,0.6605610122997965,1
Second Class,South KPK,KPK,Mobiles & Tablets,Electronics,Corporate,TRANSFER,3,1,0.102,7939.82,7129.96,7129.96,0,1,20,3,0.5953805774278215,0.5967233774417139,0.6605610122997965,1
Standard Class,Northern Areas,Federal,Car Accessories,Automotive,Home Office,TRANSFER,5,1,0.064,241690.11,226221.94,226221.94,0,1,15,5,0.7340503544365681,0.7303862035462716,0.7366829702089818,1
Same Day,Capital Territory,Federal,Mobiles & Tablets,Electronics,Corporate,DEBIT,1,1,0.242,82461.33,62505.69,62505.69,1,1,22,3,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Same Day,Northern Areas,Federal,Vitamins,Health,Consumer,CASH,1,2,0.09,26989.36,49120.64,24560.32,0,1,9,12,0.7340503544365681,0.7303862035462716,0.4316920322291853,0
First Class,Central Punjab,Punjab,Women's Fashion,Clothing,Consumer,TRANSFER,2,4,0.342,240023.07,631740.72,157935.18,0,1,13,9,0.4820809248554913,0.479179810725552,0.5351926799225761,0
Second Class,South Balochistan,Balochistan,Vitamins,Health,Home Office,DEBIT,5,5,0.003,48251.7,240534.72,48106.94,0,1,1,6,0.6475729301995985,0.6395294117647059,0.6605610122997965,0
Same Day,Central Punjab,Punjab,GPS & Navigation,Automotive,Home Office,TRANSFER,1,1,0.153,50792.51,43021.26,43021.26,0,1,5,3,0.4820809248554913,0.479179810725552,0.4316920322291853,1
Same Day,Urban Sindh,Sindh,Men's Fashion,Clothing,Home Office,CASH,1,1,0.281,248368.78,178577.15,178577.15,1,1,12,6,0.5224103055466837,0.522814498933902,0.4316920322291853,1
Standard Class,Capital Territory,Federal,GPS & Navigation,Automotive,Corporate,DEBIT,5,2,0.151,42679.1,72469.11,36234.56,1,1,12,11,0.7340503544365681,0.7377613776137761,0.7366829702089818,1
Standard Class,Urban Sindh,Sindh,Team Sports,Sports,Consumer,TRANSFER,6,3,0.057,218927.68,619346.41,206448.8,0,1,0,10,0.5224103055466837,0.522814498933902,0.7366829702089818,1
First Class,South KPK,KPK,Audio,Electronics,Consumer,DEBIT,3,1,0.228,229687.58,177318.81,177318.81,0,1,17,1,0.5953805774278215,0.5967233774417139,0.5351926799225761,1
Second Class,Northern Areas,Federal,Music,Books & Media,Consumer,TRANSFER,4,2,0.159,69478.99,116863.66,58431.83,0,1,15,6,0.7340503544365681,0.7303862035462716,0.6605610122997965,0
Standard Class,Urban Sindh,Sindh,Kitchen,Home & Garden,Corporate,CASH,4,1,0.263,227066.32,167347.88,167347.88,0,1,4,4,0.5224103055466837,0.522814498933902,0.7366829702089818,1
Same Day,Central Punjab,Punjab,Fitness Equipment,Sports,Consumer,PAYMENT,0,1,0.14,278047.13,239120.53,239120.53,0,1,11,3,0.4820809248554913,0.479179810725552,0.4316920322291853,0
Second Class,Capital Territory,Federal,Fitness Equipment,Sports,Corporate,DEBIT,4,3,0.19,255572.25,621040.57,207013.52,1,1,19,9,0.7340503544365681,0.7377613776137761,0.6605610122997965,1
Standard Class,Capital Territory,Federal,Fitness Equipment,Sports,Corporate,PAYMENT,4,4,0.163,213809.45,715834.04,178958.51,1,1,10,7,0.7340503544365681,0.7377613776137761,0.7366829702089818,0
First Class,Capital Territory,Federal,Mobiles & Tablets,Electronics,Corporate,CASH,3,4,0.148,89861.39,306247.62,76561.9,1,1,18,3,0.7340503544365681,0.7377613776137761,0.5351926799225761,1
Second Class,Capital Territory,Federal,Car Accessories,Automotive,Corporate,TRANSFER,3,3,0.158,191474.63,483664.92,161221.64,0,1,22,5,0.7340503544365681,0.7377613776137761,0.6605610122997965,1
Second Class,Rural Sindh,Sindh,Mobiles & Tablets,Electronics,Consumer,TRANSFER,5,2,0.186,138897.81,226125.63,113062.82,1,1,20,12,0.5224103055466837,0.5220072294280247,0.6605610122997965,0
First Class,North Balochistan,Balochistan,Personal Care,Health,Home Office,PAYMENT,2,2,0.25,272219.5,408329.25,204164.62,1,1,16,3,0.6475729301995985,0.655679392933365,0.5351926799225761,0
First Class,North Punjab,Punjab,Beverages,Food,Consumer,CASH,3,4,0.279,88443.41,255070.79,63767.7,1,1,17,4,0.4820809248554913,0.4793103448275862,0.5351926799225761,0
Same Day,South KPK,KPK,Medical Supplies,Health,Corporate,DEBIT,0,2,0.3,60188.74,84264.24,42132.12,0,1,10,5,0.5953805774278215,0.5967233774417139,0.4316920322291853,1
Same Day,Capital Territory,Federal,Cameras,Electronics,Home Office,PAYMENT,1,2,0.032,276166.9,534659.12,267329.56,1,1,3,5,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
Same Day,Central Punjab,Punjab,Tools & Equipment,Automotive,Corporate,PAYMENT,0,2,0.068,215872.89,402387.07,201193.54,0,1,17,12,0.4820809248554913,0.479179810725552,0.4316920322291853,0
Standard Class,Rural Sindh,Sindh,Kitchen,Home & Garden,Consumer,PAYMENT,6,3,0.093,181511.1,493891.7,164630.57,0,1,2,10,0.5224103055466837,0.5220072294280247,0.7366829702089818,0
First Class,South Punjab,Punjab,Kitchen,Home & Garden,Corporate,DEBIT,2,3,0.132,14491.74,37736.49,12578.83,1,1,17,2,0.4820809248554913,0.487797147385103,0.5351926799225761,1
Same Day,Urban Sindh,Sindh,Cameras,Electronics,Corporate,CASH,1,2,0.205,9565.17,15208.62,7604.31,0,1,8,12,0.5224103055466837,0.522814498933902,0.4316920322291853,0
First Class,Capital Territory,Federal,Music,Books & Media,Home Office,PAYMENT,2,5,0.284,59571.81,213267.08,42653.42,0,1,15,12,0.7340503544365681,0.7377613776137761,0.5351926799225761,1
First Class,North Balochistan,Balochistan,Personal Care,Health,Home Office,CASH,3,5,0.062,232069.08,1088403.99,217680.8,0,1,7,12,0.6475729301995985,0.655679392933365,0.5351926799225761,0
First Class,North KPK,KPK,Car Accessories,Automotive,Home Office,CASH,3,3,0.142,212643.82,547345.19,182448.4,0,1,23,2,0.5953805774278215,0.5940386230058774,0.5351926799225761,0
First Class,Central Punjab,Punjab,Footwear,Clothing,Home Office,DEBIT,2,4,0.005,89465.07,356070.98,89017.74,0,1,2,7,0.4820809248554913,0.479179810725552,0.5351926799225761,0
Same Day,Northern Areas,Federal,Mobiles & Tablets,Electronics,Corporate,PAYMENT,0,1,0.182,139919.35,114454.03,114454.03,0,1,3,5,0.7340503544365681,0.7303862035462716,0.4316920322291853,0
Same Day,North KPK,KPK,Snacks,Food,Corporate,TRANSFER,0,1,0.315,199145.8,136414.87,136414.87,0,1,11,6,0.5953805774278215,0.5940386230058774,0.4316920322291853,1
Same Day,North KPK,KPK,Laptops,Electronics,Consumer,TRANSFER,0,2,0.195,235576.47,379278.12,189639.06,1,1,5,4,0.5953805774278215,0.5940386230058774,0.4316920322291853,1
Standard Class,Urban Sindh,Sindh,Outdoor Sports,Sports,Home Office,CASH,5,5,0.103,41117.74,184413.06,36882.61,1,1,8,6,0.5224103055466837,0.522814498933902,0.7366829702089818,1
First Class,Rural Sindh,Sindh,Fitness Equipment,Sports,Home Office,CASH,2,3,0.048,178071.81,508573.09,169524.36,0,1,9,5,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
Second Class,Central Punjab,Punjab,Music,Books & Media,Home Office,PAYMENT,5,2,0.182,200081.8,327333.82,163666.91,0,1,22,5,0.4820809248554913,0.479179810725552,0.6605610122997965,0
First Class,Northern Areas,Federal,Car Accessories,Automotive,Corporate,CASH,3,2,0.208,232821.06,368788.56,184394.28,1,1,22,10,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
Same Day,Urban Sindh,Sindh,Furniture,Home & Garden,Consumer,DEBIT,1,2,0.212,106463.42,167786.35,83893.18,0,1,3,7,0.5224103055466837,0.522814498933902,0.4316920322291853,0
Same Day,Urban Sindh,Sindh,Beverages,Food,Consumer,PAYMENT,0,1,0.307,87477.73,60622.07,60622.07,0,1,9,9,0.5224103055466837,0.522814498933902,0.4316920322291853,0
First Class,North KPK,KPK,Vitamins,Health,Corporate,CASH,2,2,0.165,105130.12,175567.3,87783.65,1,1,5,11,0.5953805774278215,0.5940386230058774,0.5351926799225761,1
First Class,South KPK,KPK,Women's Fashion,Clothing,Corporate,TRANSFER,3,3,0.255,193984.58,433555.54,144518.51,0,1,17,6,0.5953805774278215,0.5967233774417139,0.5351926799225761,1
First Class,Northern Areas,Federal,Grocery,Food,Consumer,TRANSFER,3,3,0.271,284923.66,623128.04,207709.35,1,1,1,8,0.7340503544365681,0.7303862035462716,0.5351926799225761,1
Same Day,Northern Areas,Federal,GPS & Navigation,Automotive,Corporate,TRANSFER,1,5,0.333,50792.51,169393.02,33878.6,0,1,12,7,0.7340503544365681,0.7303862035462716,0.4316920322291853,1
First Class,Rural Sindh,Sindh,Men's Fashion,Clothing,Consumer,PAYMENT,2,1,0.329,159695.38,107155.6,107155.6,0,1,2,6,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
First Class,South KPK,KPK,Snacks,Food,Corporate,PAYMENT,2,5,0.305,205070.73,712620.79,142524.16,1,1,22,5,0.5953805774278215,0.5967233774417139,0.5351926799225761,0
Standard Class,South KPK,KPK,Men's Fashion,Clothing,Corporate,CASH,6,3,0.049,47535.8,135619.64,45206.55,0,1,0,12,0.5953805774278215,0.5967233774417139,0.7366829702089818,1
Standard Class,North KPK,KPK,Snacks,Food,Corporate,DEBIT,7,3,0.349,45151.62,88181.11,29393.7,0,1,16,10,0.5953805774278215,0.5940386230058774,0.7366829702089818,1
Standard Class,South Punjab,Punjab,Kitchen,Home & Garden,Home Office,PAYMENT,4,2,0.021,250407.69,490298.26,245149.13,0,1,1,2,0.4820809248554913,0.487797147385103,0.7366829702089818,0
Standard Class,North Balochistan,Balochistan,Personal Care,Health,Home Office,PAYMENT,5,4,0.084,155554.17,569950.48,142487.62,0,1,15,4,0.6475729301995985,0.655679392933365,0.7366829702089818,1
First Class,Rural Sindh,Sindh,Beverages,Food,Consumer,DEBIT,3,3,0.071,13248.99,36924.94,12308.31,1,1,16,5,0.5224103055466837,0.5220072294280247,0.5351926799225761,1
Same Day,Capital Territory,Federal,Kitchen,Home & Garden,Consumer,DEBIT,0,2,0.067,141134.86,263357.65,131678.83,0,1,1,4,0.7340503544365681,0.7377613776137761,0.4316920322291853,1
First Class,Central Punjab,Punjab,Women's Fashion,Clothing,Consumer,CASH,2,4,0.008,240023.07,952411.54,238102.88,0,1,10,10,0.4820809248554913,0.479179810725552,0.5351926799225761,0
Same Day,North KPK,KPK,Accessories,Clothing,Corporate,CASH,1,3,0.285,142798.27,306302.29,102100.76,0,1,3,7,0.5953805774278215,0.5940386230058774,0.4316920322291853,1
Second Class,South Punjab,Punjab,Furniture,Home & Garden,Consumer,CASH,5,5,0.159,110200.1,463391.42,92678.28,0,1,22,7,0.4820809248554913,0.487797147385103,0.6605610122997965,0
Same Day,Rural Sindh,Sindh,Music,Books & Media,Consumer,TRANSFER,0,3,0.178,64063.36,157980.25,52660.08,0,1,7,11,0.5224103055466837,0.5220072294280247,0.4316920322291853,0
Second Class,South KPK,KPK,Mobiles & Tablets,Electronics,Corporate,DEBIT,5,5,0.334,60546.42,201619.58,40323.92,0,1,19,2,0.5953805774278215,0.5967233774417139,0.6605610122997965,0
First Class,South KPK,KPK,Outdoor Sports,Sports,Home Office,DEBIT,2,3,0.349,198136.13,386959.86,128986.62,0,1,10,7,0.5953805774278215,0.5967233774417139,0.5351926799225761,0
First Class,Central Punjab,Punjab,Music,Books & Media,Consumer,CASH,2,5,0.128,167499.96,730299.83,146059.97,0,1,23,11,0.4820809248554913,0.479179810725552,0.5351926799225761,1
First Class,South KPK,KPK,Kitchen,Home & Garden,Corporate,PAYMENT,2,5,0.238,7678.26,29254.17,5850.83,0,1,14,2,0.5953805774278215,0.5967233774417139,0.5351926799225761,0
Second Class,Urban Sindh,Sindh,Music,Books & Media,Consumer,PAYMENT,5,4,0.315,67761.43,185666.32,46416.58,1,1,9,11,0.5224103055466837,0.522814498933902,0.6605610122997965,1
Standard Class,Rural Sindh,Sindh,Music,Books & Media,Corporate,PAYMENT,5,5,0.216,59571.81,233521.5,46704.3,1,1,9,9,0.5224103055466837,0.5220072294280247,0.7366829702089818,1
Same Day,South Punjab,Punjab,Team Sports,Sports,Corporate,PAYMENT,1,2,0.304,274396.52,381959.96,190979.98,0,1,20,8,0.4820809248554913,0.487797147385103,0.4316920322291853,0
First Class,Central Punjab,Punjab,Music,Books & Media,Corporate,DEBIT,2,4,0.038,171150.84,658588.43,164647.11,0,1,16,12,0.4820809248554913,0.479179810725552,0.5351926799225761,0
Same Day,Northern Areas,Federal,Kitchen,Home & Garden,Home Office,CASH,1,4,0.224,293362.25,910596.42,227649.1,0,1,23,5,0.7340503544365681,0.7303862035462716,0.4316920322291853,1
Standard Class,Central Punjab,Punjab,Movies & TV,Books & Media,Corporate,CASH,5,3,0.326,192212.0,388652.66,129550.89,0,1,5,1,0.4820809248554913,0.479179810725552,0.7366829702089818,1
Second Class,Urban Sindh,Sindh,Fitness Equipment,Sports,Home Office,PAYMENT,3,3,0.195,268911.52,649421.32,216473.77,0,1,18,5,0.5224103055466837,0.522814498933902,0.6605610122997965,0
Same Day,South Balochistan,Balochistan,Mobiles & Tablets,Electronics,Home Office,TRANSFER,0,1,0.091,138897.81,126258.11,126258.11,0,1,1,4,0.6475729301995985,0.6395294117647059,0.4316920322291853,1
First Class,North KPK,KPK,Accessories,Clothing,Home Office,CASH,2,4,0.205,77053.93,245031.5,61257.88,1,1,3,1,0.5953805774278215,0.5940386230058774,0.5351926799225761,1
Standard Class,Central Punjab,Punjab,Tools & Equipment,Automotive,Corporate,CASH,4,1,0.293,80600.94,56984.86,56984.86,1,1,7,5,0.4820809248554913,0.479179810725552,0.7366829702089818,1
Same Day,North Balochistan,Balochistan,Furniture,Home & Garden,Home Office,TRANSFER,0,3,0.172,106463.42,264455.14,88151.71,1,1,11,1,0.6475729301995985,0.655679392933365,0.4316920322291853,1
First Class,Rural Sindh,Sindh,Accessories,Clothing,Home Office,TRANSFER,3,3,0.294,92876.56,196712.55,65570.85,1,1,21,9,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
Second Class,North Balochistan,Balochistan,Books,Books & Media,Corporate,PAYMENT,5,5,0.233,209527.09,803536.39,160707.28,0,1,22,10,0.6475729301995985,0.655679392933365,0.6605610122997965,0
Standard Class,Urban Sindh,Sindh,Tools & Equipment,Automotive,Home Office,CASH,4,5,0.011,234283.35,1158531.17,231706.23,0,1,2,10,0.5224103055466837,0.522814498933902,0.7366829702089818,0
Second Class,South Balochistan,Balochistan,Cameras,Electronics,Corporate,PAYMENT,4,2,0.055,234940.24,444037.05,222018.52,0,1,15,9,0.6475729301995985,0.6395294117647059,0.6605610122997965,0
Standard Class,South KPK,KPK,Books,Books & Media,Consumer,TRANSFER,5,5,0.097,237337.03,1071576.69,214315.34,0,1,1,6,0.5953805774278215,0.5967233774417139,0.7366829702089818,1
Second Class,Northern Areas,Federal,Medical Supplies,Health,Corporate,DEBIT,5,2,0.296,101861.73,143421.32,71710.66,0,1,22,11,0.7340503544365681,0.7303862035462716,0.6605610122997965,1
First Class,North Punjab,Punjab,Kitchen,Home & Garden,Home Office,CASH,2,4,0.194,250407.69,807314.39,201828.6,0,1,1,5,0.4820809248554913,0.4793103448275862,0.5351926799225761,0
Second Class,South KPK,KPK,Team Sports,Sports,Home Office,TRANSFER,4,2,0.28,218927.68,315255.86,157627.93,0,1,19,1,0.5953805774278215,0.5967233774417139,0.6605610122997965,1
Standard Class,Urban Sindh,Sindh,Books,Books & Media,Corporate,CASH,6,1,0.086,116531.8,106510.07,106510.07,1,1,15,6,0.5224103055466837,0.522814498933902,0.7366829702089818,1
First Class,Rural Sindh,Sindh,Personal Care,Health,Corporate,DEBIT,2,1,0.294,171715.08,121230.85,121230.85,1,1,22,10,0.5224103055466837,0.5220072294280247,0.5351926799225761,0
First Class,Central Punjab,Punjab,Furniture,Home & Garden,Consumer,DEBIT,3,3,0.16,88140.67,222114.49,74038.16,1,1,23,10,0.4820809248554913,0.479179810725552,0.5351926799225761,1
